drive_id,route_counter,wall_date,date,n_segs,n_elig,engaged_frac,weave_path,weave_steer,hunt_steer,centering_abs,centering_signed,spd_mph,sr_start,sr_end,aoa_start,aoa_end,stf,cal_yaw,cal_pitch,cal_roll,calperc_start,calperc_min,calperc_end,lc_kp,pi_set
route_stock,-1,1772209690.7711194,2026-02-27 16:28,41,9,0.2943942429570266,2.4380019141694502,1.0343079212811574,0.16534148579897,0.1194113716483116,-0.0976326689124107,43.90338853261947,16.916006088256836,16.75227928161621,0.1950232237577438,-0.5019121766090393,1.0464529991149902,-3.351167917251587,2.5136499404907227,-0.015117835253477,100.0,100.0,100.0,,unknown/manual
route_0c,12,1774825984.0812883,2026-03-29 23:13,39,8,0.7783322936161364,0.9830912816093706,0.5032250838558205,0.1446738518507214,0.2009976059198379,-0.1875375211238861,64.78168968625069,16.578317642211914,16.853870391845703,-1.8994691371917725,-0.4819418489933014,1.001508712768555,-2.853216648101806,2.392126083374023,-0.0110403867438435,100.0,100.0,100.0,,unknown/manual
route_a0,160,1780145240.3496978,2026-05-30 12:47,14,6,0.5431722137480933,1.3203736286694228,0.6361035089491993,0.2052050671795433,0.1340615227818489,-0.0863674096763134,62.91902544965744,16.414899826049805,16.579933166503906,0.1188653856515884,0.6907995343208313,1.00077486038208,-2.842667579650879,2.484951972961426,-0.008699033409357,100.0,100.0,100.0,0.0001000000047497,weak
route_b8,184,1781356860.8001297,2026-06-13 13:21,31,10,0.4584033006016258,2.165855826634141,0.9348711055560208,0.1416974821186997,0.1024367809295654,-0.0146646709181368,61.56976733318329,16.51517105102539,16.69491195678711,-0.4672811031341553,-0.4245676398277282,0.9971349835395812,-2.9049296379089355,2.452859401702881,-0.0114398654550313,100.0,100.0,100.0,0.0005000000237487,golden
route_0e,14,1774994706.354992,2026-03-31 22:05,3,0,0.6340712003651301,,,,,,,16.904165267944336,16.923627853393555,-0.9525655508041382,-0.8238239288330078,1.000049352645874,-2.8648014068603516,2.406440258026123,-0.0115096857771277,100.0,100.0,100.0,,unknown/manual
route_19,25,1775485363.5089686,2026-04-06 14:22,5,0,0.0,,,,,,,16.767982482910156,16.76803970336914,-0.7709519863128662,-0.7692877650260925,1.0,-2.829317808151245,2.396076917648315,-0.0097267497330904,100.0,100.0,100.0,,unknown/manual
route_12,18,1775167695.7715137,2026-04-02 22:08,7,0,0.0,,,,,,,16.72756004333496,16.855260848999023,-1.2303752899169922,-1.042941331863403,1.0000303983688354,-2.9102275371551514,2.4343559741973877,-0.0133984284475445,100.0,100.0,100.0,,unknown/manual
route_13,19,1775169610.0023775,2026-04-02 22:40,7,0,0.0,,,,,,,16.855260848999023,16.90436553955078,-1.042941331863403,-0.1020430624485015,1.020139217376709,-2.90513014793396,2.43562650680542,-0.0131810465827584,100.0,100.0,100.0,,unknown/manual
route_14,20,1775393015.60972,2026-04-05 12:43,7,3,0.3626771178776002,0.8288258929656327,0.388586026222765,0.1305218565160628,0.1482066214084625,-0.1480880081653595,59.694515487804416,16.92164421081543,16.801471710205078,-0.0966188758611679,-1.144003987312317,0.9987280368804932,-2.8912506103515625,2.4009056091308594,-0.012595391832292,100.0,100.0,100.0,,unknown/manual
route_17,23,1775482641.251531,2026-04-06 13:37,7,1,0.1452612485514183,2.770598970719498,1.0246616398728507,0.1936841781990014,0.1628928035497665,-0.1626492887735366,42.36387309864045,17.11701202392578,16.80615234375,-0.6126704812049866,-0.9895795583724976,1.00284743309021,-2.8472301959991455,2.51450252532959,-0.0104816891252994,100.0,100.0,100.0,,unknown/manual
