,r,p,n,slope
primary,0.26675025325746315,0.05791737521256377,68.0,0.01571903932060887
vs_calendar,0.24185854818496158,0.10533159947984395,68.0,0.017817263097153386
calendar_only,0.2304222715015931,0.38871661498449533,68.0,0.003421683392024859
weak-only,0.545858270328073,0.00010003000900270081,22.0,0.08438667817909945
drivecount_tau,0.3353983737660899,0.024207262178653596,68.0,0.06646422908803389
