drive_id,route_counter,wall_date,date,n_segs,n_elig,engaged_frac,weave_path,weave_steer,hunt_steer,centering_abs,centering_signed,spd_mph,sr_start,sr_end,aoa_start,aoa_end,stf,cal_yaw,cal_pitch,cal_roll,calperc_start,calperc_min,calperc_end,lc_kp,pi_set,pi_bin,is_reset,epoch,drives_since_reset,days_since_reset
route_stock,-1,1772209690.7711194,2026-02-27 16:28,41,9,0.2943942429570266,2.4380019141694502,1.0343079212811574,0.16534148579897,0.1194113716483116,-0.0976326689124107,43.90338853261947,16.916006088256836,16.75227928161621,0.1950232237577438,-0.5019121766090393,1.0464529991149902,-3.351167917251587,2.5136499404907227,-0.015117835253477,100.0,100.0,100.0,,unknown/manual,0,True,1,0.0,0.0
route_1b,27,1773245320.9326644,2026-03-11 16:08,61,12,0.4977276496931497,1.189361064059804,0.6719807405878927,0.1152883506169737,0.1729925945401191,-0.1528109796345234,75.01474363561631,16.87133026123047,17.07498550415039,-0.1650247424840927,-0.4423819184303283,1.192145586013794,-3.5655362606048584,2.5315358638763428,-0.030767448246479,100.0,100.0,100.0,,unknown/manual,0,False,1,1.0,11.98646020306713
route_41,65,1774272158.252988,2026-03-23 13:22,11,6,0.6329735333577265,2.4743196350248313,0.9434170320197952,0.1309283637702264,0.151093378663063,-0.0872391387820243,45.70224860052109,16.93932342529297,16.924104690551758,-0.5982338786125183,-0.5601312518119812,1.0080305337905884,-3.1113295555114746,2.4711713790893555,-0.010296125896275,100.0,100.0,100.0,,unknown/manual,0,False,1,2.0,23.87115141050926
route_43,67,1774274574.380932,2026-03-23 14:02,19,5,0.5829558221288008,0.8724235256714937,0.5865036486206954,0.1419591292345166,0.1290803551673889,-0.1161935776472091,73.949484842453,16.724422454833984,16.77117919921875,-0.4598161280155182,-0.4146786034107208,1.0000386238098145,-3.2020275592803955,2.4664900302886963,-0.0141587750986218,100.0,100.0,100.0,,unknown/manual,0,False,1,3.0,23.899115854305556
route_47,71,1774277264.2882302,2026-03-23 14:47,13,4,0.5216913341913342,0.6881933655796123,0.4154108886353299,0.0619288282110064,0.2006702274084091,-0.1342161558568477,76.30996068679809,16.908939361572266,16.92580795288086,-1.108595609664917,-0.5092858076095581,0.9997546076774596,-3.222249984741211,2.4710206985473633,-0.0150408102199435,100.0,100.0,100.0,0.0001976744097191,weak,0,True,2,0.0,0.0
route_4a,74,1774282529.0044007,2026-03-23 16:15,58,13,0.9153491838885686,0.9308328807386572,0.5430358960166293,0.1294077370482916,0.1286949068307876,-0.0387754775583744,72.27849977596284,17.062314987182617,17.554405212402344,0.188483327627182,-0.067235991358757,0.9908820986747742,-3.238115072250366,2.478226900100708,-0.0156014608219265,100.0,100.0,100.0,9.999999747378752e-05,weak,0,True,3,0.0,0.0
route_4d,77,1774289761.486426,2026-03-23 18:16,83,8,0.93542701425073,0.6137841688558571,0.4183477654065399,0.1258339754504163,0.0905372872948646,-0.0778620541095733,76.63041404941559,17.775341033935547,17.94685173034668,0.4113939702510834,-0.0889663845300674,0.9909462928771972,-3.2306618690490723,2.4689507484436035,-0.0152124958112835,100.0,100.0,100.0,9.999999747378752e-05,weak,0,True,4,0.0,0.0
route_4e,78,1774293475.9682724,2026-03-23 19:17,54,7,0.7584539267955887,1.091779636724736,0.6252316749360832,0.1672434655504885,0.1382694244384765,0.0025479539763182,68.04268675374985,17.94685173034668,17.326066970825195,-0.0889663845300674,0.0702461823821067,0.9951820969581604,-3.1791024208068848,2.463786363601685,-0.012946599163115,100.0,100.0,100.0,9.999999747378752e-05,weak,0,False,4,1.0,0.04299168803240741
route_0c,12,1774825984.0812883,2026-03-29 23:13,39,8,0.7783322936161364,0.9830912816093706,0.5032250838558205,0.1446738518507214,0.2009976059198379,-0.1875375211238861,64.78168968625069,16.578317642211914,16.853870391845703,-1.8994691371917725,-0.4819418489933014,1.001508712768555,-2.853216648101806,2.392126083374023,-0.0110403867438435,100.0,100.0,100.0,,unknown/manual,0,True,5,0.0,0.0
route_0d,13,1774994380.7483804,2026-03-31 21:59,31,7,0.6299421117713361,1.5192207136600735,0.7016668016010553,0.1548431260617086,0.2450594007968902,-0.1826072633266449,56.50057802345276,16.915830612182617,16.904645919799805,-0.4293176233768463,-0.98454350233078,0.9951435327529908,-2.873246192932129,2.4028260707855225,-0.0118703451007604,100.0,100.0,100.0,,unknown/manual,0,False,5,1.0,1.9490354987499998
route_0f,15,1775000460.378852,2026-03-31 23:41,21,4,0.5025962224962679,2.1383583418754535,0.8286299071680447,0.179251653439539,0.183299034833908,-0.0934254601597786,49.27052689430237,16.898147583007812,16.913822174072266,-0.8198094964027405,-0.7772703766822815,0.9982593059539796,-2.8660218715667725,2.4157907962799072,-0.0115608368068933,100.0,100.0,100.0,,unknown/manual,0,False,5,2.0,2.019401592164352
route_10,16,1775002344.9971533,2026-04-01 00:12,27,6,0.6872358086967627,1.59224862064535,0.6904315170603331,0.1389999747334911,0.1351744011044502,-0.1114036627113819,55.89785652039528,16.913822174072266,16.770755767822266,-0.7772703766822815,-0.5698486566543579,0.997959554195404,-2.931788206100464,2.4295589923858643,-0.0143467718735337,100.0,100.0,100.0,,unknown/manual,0,False,5,3.0,2.0412143039814814
route_14,20,1775393015.60972,2026-04-05 12:43,7,3,0.3626771178776002,0.8288258929656327,0.388586026222765,0.1305218565160628,0.1482066214084625,-0.1480880081653595,59.694515487804416,16.92164421081543,16.801471710205078,-0.0966188758611679,-1.144003987312317,0.9987280368804932,-2.8912506103515625,2.4009056091308594,-0.012595391832292,100.0,100.0,100.0,,unknown/manual,0,True,6,0.0,0.0
