drive_id,pi_set,driving_model,order,weave_path,weave_steer,hunt_steer,centering_abs,centering_signed,spd_mph,steerRatio,angleOffsetAvg,angleOffset,stiffness,cal_yaw,cal_pitch,cal_roll,int_abs,int_railed_frac,wall_date,time_valid,note,n_segs
ba_tonight_golden,golden,CD210,0,1.1724839995502612,0.5334031742518265,0.11740912547078453,0.0805828869342804,-0.016136575490236282,58.0430736946106,17.175846099853516,0.2469910830259323,0.1554194688796997,1.0056462287902832,-2.878239154815674,2.4630889892578125,-0.01029258407652378,0.23115118932679818,0.27991675338189387,1764094627.5855677,False,golden-jun14,7
b8,golden,CD210,1,2.165855826634141,0.9348711055560208,0.14169748211869976,0.10243678092956543,-0.014664670918136835,61.56976733318329,16.49777317047119,-0.39931753277778625,-0.30114156007766724,1.000554084777832,-2.912814974784851,2.4461547136306763,-0.011778414249420166,0.19360375151133274,0.18208774087740875,1764094627.887948,False,golden-jun13,10
b5,weak,CD210,2,2.7381015493012635,1.0460397828075139,0.14020879555950042,0.12218299508094788,-0.055221229791641235,51.84112972621918,16.66609764099121,-0.5436891317367554,-0.569797158241272,0.9979636669158936,-2.947328567504883,2.4917798042297363,-0.013185014016926289,0.18409230279664146,0.24877020379479972,1764094628.5455053,False,weak-era,13
b2,weak,CD210,3,3.008375018770082,1.132320910596561,0.11514596888722456,0.14411180093884468,-0.11835965886712074,52.481521256551744,16.747876167297363,-0.5348269641399384,-0.28336191177368164,1.0000414848327637,-2.8888720273971558,2.4944660663604736,-0.010660771280527115,0.16816289397788695,0.27318983908489586,1764094628.939808,False,weak-era,4
bb_tonight_weak,weak,CD210,4,1.2725517677665341,0.5682202034993242,0.11016119627759426,0.10397667437791824,-0.07602640986442566,57.09233323501587,17.089603424072266,0.14169663190841675,0.23187440633773804,1.0003341436386108,-2.891166925430298,2.4739701747894287,-0.010838833637535572,0.19569426067382456,0.20622222222222222,1764094629.4364252,False,weak-jun14,3
op_7f,unknown/manual,OPM7,6,1.9590593205948716,0.8813138432060992,0.14071646289728423,0.1350540965795517,-0.04917162284255028,49.004852723007204,16.69610023498535,-0.02626793086528778,0.019966326653957367,0.9957459568977356,-3.035155773162842,2.477822780609131,-0.017072785645723343,,,1764094631.2689874,False,golden-unverified,7
b4,weak,CD210,8,1.8991619373736428,0.8169364232771736,0.16562014840388023,0.10855349153280258,-0.05051115155220032,59.61050991899491,16.579744338989258,0.3332282304763794,0.7053548097610474,0.9997961521148682,-2.9000747203826904,2.486280918121338,-0.011144803836941719,0.17231517819707096,0.1455796717840127,1764094631.741736,False,weak-era,9
op_9b,weak,OPM7,9,1.7437112746871126,0.7520236292496305,0.20044404599990337,0.1125536598265171,-0.0426104748621583,52.65220330107689,16.617891311645508,-1.1934359669685364,-0.9831972420215607,0.9931046366691589,-2.9563018083572388,2.3731188774108887,-0.01361084170639515,0.20760570714923138,0.3995582115980522,1764094632.678022,False,weak,6
b1,weak,CD210,11,3.8338006482979585,1.5594501515398003,0.2635774911512275,0.15523428469896317,-0.04828855209052563,55.668035861015326,16.76916217803955,-0.6054953634738922,-0.6347722411155701,0.9992490410804749,-2.8745620250701904,2.487921357154846,-0.010038232896476984,0.22337826936037164,0.40372670807453415,1764094644.193775,False,weak-era,8
op_a0,weak,OPM7,12,1.3203736286694228,0.6361035089491993,0.20520506717954334,0.1340615227818489,-0.0863674096763134,62.91902544965744,16.38748264312744,0.8594511449337006,1.2163041830062866,1.0008923411369324,-2.8373032808303833,2.4805744886398315,-0.008467098698019981,0.20249171933298366,0.4216931216931217,1780144439.0744872,False,weak,6
