drive_id,pi_set,driving_model,wall_date,order,seg_t,weave_path,weave_steer,hunt_steer,centering_abs,centering_signed,spd_mph,elig_s,steerRatio,angleOffsetAvg,angleOffset,stiffness,cal_yaw,cal_pitch,cal_roll,int_abs,int_railed_frac
ba_tonight_golden,golden,CD210,1764094627.5855677,0,180.0,1.1724839995502612,0.5236698971660451,0.12819319392963127,0.10678994655609131,-0.06905631721019745,58.120419062652594,40.34,17.17775535583496,0.2469910830259323,0.4664144814014435,1.00440514087677,-2.8763372898101807,2.4543113708496094,-0.010211422108113766,0.19692616573961894,0.23500247892910262
ba_tonight_golden,golden,CD210,1764094627.5855677,0,225.0,1.1297569306202326,0.48580970534916285,0.11740912547078453,0.07347989082336426,-0.03023606725037098,56.19974686668397,36.5,17.176326751708984,0.28708428144454956,0.3660856783390045,1.0044347047805786,-2.878239154815674,2.4630889892578125,-0.01029258407652378,0.23115118932679818,0.3052054794520548
ba_tonight_golden,golden,CD210,1764094627.5855677,0,630.0,3.8024119396799008,1.5152843671966767,0.5048248240395714,0.10966625064611435,-0.004656014032661915,55.38994154594422,33.36,17.1809024810791,0.34109532833099365,0.22212772071361542,1.004619836807251,-2.876448631286621,2.447021484375,-0.010209455154836178,0.261415905637365,0.38609112709832133
ba_tonight_golden,golden,CD210,1764094627.5855677,0,810.0,1.0717096583949295,0.5112607651212652,0.16372951115254444,0.0805828869342804,-0.04703865572810173,58.28026601438523,38.44,17.16659164428711,0.29405975341796875,0.14133016765117645,1.0059678554534912,-2.882716178894043,2.4458656311035156,-0.010477012023329735,0.23196766697581236,0.27991675338189387
ba_tonight_golden,golden,CD210,1764094627.5855677,0,855.0,1.382933661594251,0.6337517849605623,0.11088969961050169,0.12679539620876312,-0.016136575490236282,58.15549924888611,40.54,17.168052673339844,0.24405723810195923,0.08685387670993805,1.0059353113174438,-2.883209466934204,2.4687535762786865,-0.01049849297851324,0.21412504738885554,0.2067094227923039
ba_tonight_golden,golden,CD210,1764094627.5855677,0,990.0,1.1350885112114686,0.5334031742518265,0.07951608830742886,0.06520643085241318,0.019102005288004875,58.0430736946106,45.0,17.173276901245117,0.13667288422584534,0.1554194688796997,1.0057284832000732,-2.8772590160369873,2.4747965335845947,-0.010241501964628696,0.08369915086644722,0.0
ba_tonight_golden,golden,CD210,1764094627.5855677,0,1035.0,4.655653473722056,1.9519721856458983,0.08798524296059915,0.07305985689163208,0.04989068582653999,58.03111434627533,41.86,17.175846099853516,0.13272696733474731,0.0944666638970375,1.0056462287902832,-2.8844404220581055,2.4709231853485107,-0.010550427250564098,0.24907545073067716,0.3497372193024367
b8,golden,CD210,1764094627.887948,1,90.0,2.0480264686544145,0.8645144232492935,0.12299654855206994,0.11022812873125076,0.008687557652592659,61.27274627204895,25.32,16.494380950927734,-0.4425390660762787,-0.23257562518119812,1.000606894493103,-2.9350521564483643,2.435730218887329,-0.012728522531688213,0.18960368706171063,0.1066350710900474
b8,golden,CD210,1764094627.887948,1,135.0,1.0503201077719695,0.5088104764991435,0.1123437684426795,0.11293002963066101,-0.06950756907463074,62.27799712562562,45.0,16.497024536132812,-0.3924816846847534,-0.26765507459640503,1.0005689859390259,-2.9328622817993164,2.4406988620758057,-0.012635220773518085,0.3747019405979846,0.6293333333333333
b8,golden,CD210,1764094627.887948,1,180.0,2.819752423874716,1.4522585510002213,0.13666128307401676,0.08442646265029907,-0.03922027349472046,61.86678839431763,38.7,16.49852180480957,-0.37460142374038696,-0.3131384253501892,1.0005391836166382,-2.9308483600616455,2.445250988006592,-0.012549197301268578,0.13673045218180438,0.13643410852713178
b8,golden,CD210,1764094627.887948,1,630.0,1.2738934595380793,0.5602236932617044,0.08581375139934037,0.15273837745189667,0.03073696233332157,60.116516645660404,31.76,16.468902587890625,-0.356248140335083,-0.2489984929561615,1.015027642250061,-2.9183950424194336,2.438770294189453,-0.012017667293548584,0.3144892966343,0.4836272040302267
