setting,drive_id,config_id,driving_model,controller_set,window_start_s,eligible_s,eligible_frac,speed_median_mps,speed_p25_mps,speed_p75_mps,road_curv_median,road_curv_abs_median,lat_median,lon_median,steer_rms_deg,steer_pp_sine_deg,actual_curv_rms_1pm,lat_accel_rms_mps2,lat_disp_pp_sine_cm,cmd_curv_rms_1pm,desired_curv_rms_1pm,controls_curv_rms_1pm,model_path_y20_rms_m,model_curv_rms_1pm,lane_center_y20_rms_m,lane_good_frac,steer_peak_freq_hz,x_m,y_m,speed_bin,curv_bin,x_cell_500m,y_cell_500m,speed_curve_stratum,gps_speed_curve_stratum
primary,drive_01,A,CD210,set1,120.0,30.0,1.0,25.48362321195874,24.871521830895528,25.808466913602594,-0.0002577891917500859,0.0003101315687604294,33.8985089448185,-84.6559522248324,0.8727324724136627,2.4684601976216096,2.083670213547692,0.13118289928467275,17.109602177189156,1.7328002943758016,1.7328054503693033,2.1595244095730606,0.03373499784678873,1.7151491729802153,0.11317752821978193,0.7383333333333333,0.234375,-4197.694951411067,-167.88382154447362,10,-1,-9,-1,10|-1,-9|-1|10|-1
primary,drive_01,A,CD210,set1,150.0,30.0,1.0,27.376480698470438,26.592590600664863,27.797270872412163,0.00037457191270905273,0.00037457191270905273,33.89669215267279,-84.6477518311104,0.7062278226958981,1.9975139299635214,1.598327369728597,0.12001426710095701,22.54021509441409,1.39390496814653,1.3938849380229978,1.5996250708938302,0.029304142762987238,1.4321283959025444,0.1119285882283463,0.915,0.1953125,-3440.0036847624856,-368.7120253313258,10,0,-7,-1,10|0,-7|-1|10|0
primary,drive_01,A,CD210,set1,180.0,21.8,0.7266666666666667,23.61139377740308,22.13588445628818,27.172474959778334,-0.0003852442853862349,0.0003852442853862349,33.89802042052601,-84.63786704706266,0.9410800536273335,2.6617763502371496,2.3164902753447505,0.12554490597125376,23.57893984570678,2.0284495846101755,2.0285647891899843,2.40335188992924,0.03747956754174908,1.8456469208575756,0.130095930617951,0.8325688073394495,0.1953125,-2526.67991037076,-221.8852968366275,9,-1,-6,-1,9|-1,-6|-1|9|-1
primary,drive_01,A,CD210,set1,210.0,20.3,0.6766666666666666,21.704948925516383,21.39210743461161,22.1853008820841,-0.0003669671472794785,0.0003669671472794785,33.898933966241145,-84.63283585435326,1.194837204095479,3.379509957719553,3.18789059048181,0.14946769404935453,19.494406645006013,2.8443979730003046,2.8444160979198707,3.2185551691622716,0.04921935708034462,2.4792830124068064,0.1275866369964933,0.8817733990147784,0.234375,-2061.8131117797243,-120.90195348550395,8,-1,-5,-1,8|-1,-5|-1|8|-1
primary,drive_01,A,CD210,set1,270.0,20.1,0.67,21.463574796638145,20.879969258041328,21.744874366766744,-0.0006073246574338732,0.0006073246574338732,33.901446855476316,-84.62306156454807,1.3204452648183784,3.7347832037549678,3.3901128036502923,0.15472807811131262,29.0599130088466,3.1547904163477822,3.154817041903203,3.5245625938267735,0.059065346345932995,2.6629083213624143,0.12941610598747272,0.945273631840796,0.1953125,-1158.698667016804,156.8728225702138,8,-2,-3,0,8|-2,-3|0|8|-2
primary,drive_01,A,CD210,set1,300.0,30.0,1.0,22.494099503499363,22.109950737173758,22.766466723662226,-0.00040298216129630875,0.00040298216129630875,33.90333424244123,-84.61538829150055,0.9235084309734178,2.6120762960970096,2.342505678301696,0.11704989872598826,21.983468780789003,2.157367705508668,2.1574019633564525,2.3884496522700256,0.04028556758733909,2.3906899311050154,0.11838336895955338,0.9766666666666667,0.1953125,-449.7117364124493,365.5045776721357,8,-1,-1,0,8|-1,-1|0|8|-1
primary,drive_02,B,CD210,set2,120.0,21.8,0.7266666666666667,27.790497337439827,27.637606827180925,27.90371379492452,0.00036778463853181994,0.00040794675145014816,33.89726994942696,-84.65248769565707,0.5208020848863776,1.4730507435169982,1.0309172367139814,0.07934138057414696,41.39257373376949,1.2665723672606748,1.2666029956387752,1.0994435606581714,0.024951164163690986,1.3164357169829617,0.10467280511804578,0.9013761467889908,0.1171875,-3877.5830655446834,-304.84237212517496,11,0,-8,-1,11|0,-8|-1|11|0
primary,drive_02,B,CD210,set2,150.0,30.0,1.0,27.831904001501357,27.62218538038814,27.906514676116856,0.00016792828833002394,0.00027313308745491804,33.896777086856716,-84.6446538525426,0.5068971674411765,1.433721697847635,1.125662748968462,0.08634648096344713,25.33902193171923,1.1312028300133612,1.131206979654075,1.1482340416827674,0.022219619692256512,1.1448862946701281,0.10437932031721127,0.945,0.15625,-3153.759952491075,-359.32340064034577,11,0,-7,-1,11|0,-7|-1|11|0
primary,drive_02,B,CD210,set2,180.0,30.0,1.0,27.690816550709947,27.585110959515397,27.82958454193634,-0.00029930570497185014,0.00029930570497185014,33.89839629924716,-84.63572108282375,0.5682120248265338,1.6071463036263238,1.147361774344838,0.08645336578315796,25.370388083073646,1.1400887712341419,1.1401144417130875,1.344410604804078,0.025698680005927732,2.075661413464092,0.07288079723883167,0.805,0.15625,-2328.3993865959233,-180.33566300059945,11,-1,-5,-1,11|-1,-5|-1|11|-1
primary,drive_02,B,CD210,set2,1140.0,25.1,0.8366666666666667,25.14213208687936,24.998271979091598,26.230601235695097,-1.4917649155297733e-05,0.00029669954861597067,33.89793886540579,-84.59465571871041,0.8507330522940119,2.4062364410265022,2.2247135015579356,0.14273583143674012,26.807615627546497,2.5256278880505016,2.5255607454035185,2.2090114581575797,0.04596706601565426,2.2192319178346587,0.12975338623064156,0.9960159362549801,0.1953125,1465.9144970069408,-230.90039982552668,10,-1,2,-1,10|-1,2|-1|10|-1
