setting,drive_id,grid_duration_min,lat_active_min,primary_eligible_min,n_windows
primary,drive_01,8.734866714477539,4.286666666666666,2.9975,6
primary,drive_02,29.973709297180175,13.741666666666667,7.295,11
primary,drive_03,42.75601425170898,32.33416666666667,13.265833333333335,23
primary,drive_04,17.72639617919922,13.651666666666667,8.009166666666667,15
primary,drive_05,13.36479606628418,7.241666666666666,4.391666666666667,8
primary,drive_06,49.48841152191162,24.765833333333333,10.865,21
strict_curve,drive_01,8.734866714477539,4.286666666666666,2.970833333333333,6
strict_curve,drive_02,29.973709297180175,13.741666666666667,6.638333333333334,10
strict_curve,drive_03,42.75601425170898,32.33416666666667,11.886666666666667,20
strict_curve,drive_04,17.72639617919922,13.651666666666667,6.979166666666667,13
strict_curve,drive_05,13.36479606628418,7.241666666666666,4.275,8
strict_curve,drive_06,49.48841152191162,24.765833333333333,9.8125,18
loose_curve,drive_01,8.734866714477539,4.286666666666666,3.0116666666666663,7
loose_curve,drive_02,29.973709297180175,13.741666666666667,7.505833333333333,11
loose_curve,drive_03,42.75601425170898,32.33416666666667,13.4975,23
loose_curve,drive_04,17.72639617919922,13.651666666666667,8.173333333333334,16
loose_curve,drive_05,13.36479606628418,7.241666666666666,4.4675,8
loose_curve,drive_06,49.48841152191162,24.765833333333333,11.2825,22
broad_band,drive_01,8.734866714477539,4.286666666666666,2.9975,6
broad_band,drive_02,29.973709297180175,13.741666666666667,7.295,11
broad_band,drive_03,42.75601425170898,32.33416666666667,13.265833333333335,23
broad_band,drive_04,17.72639617919922,13.651666666666667,8.009166666666667,15
broad_band,drive_05,13.36479606628418,7.241666666666666,4.391666666666667,8
broad_band,drive_06,49.48841152191162,24.765833333333333,10.865,21
narrow_band,drive_01,8.734866714477539,4.286666666666666,2.9975,6
narrow_band,drive_02,29.973709297180175,13.741666666666667,7.295,11
narrow_band,drive_03,42.75601425170898,32.33416666666667,13.265833333333335,23
narrow_band,drive_04,17.72639617919922,13.651666666666667,8.009166666666667,15
narrow_band,drive_05,13.36479606628418,7.241666666666666,4.391666666666667,8
narrow_band,drive_06,49.48841152191162,24.765833333333333,10.865,21
lower_speed,drive_01,8.734866714477539,4.286666666666666,3.345833333333333,6
lower_speed,drive_02,29.973709297180175,13.741666666666667,8.21,13
lower_speed,drive_03,42.75601425170898,32.33416666666667,17.785,32
lower_speed,drive_04,17.72639617919922,13.651666666666667,9.67,17
lower_speed,drive_05,13.36479606628418,7.241666666666666,4.495833333333334,8
lower_speed,drive_06,49.48841152191162,24.765833333333333,14.6125,25
