setting,subset,metric,comparison,stratum,a_n_windows,b_n_windows,weight,a_median,b_median,diff
broad_band,speed_curve_matched,desired_curv_rms_1pm,C-minus-B,11|0,2,2,2.0,1.2849303478210443,0.9402099674272186,-0.3447203803938257
broad_band,gps_speed_curve_matched,steer_rms_deg,C-minus-B,-5|-1|11|-1,1,1,1.0,0.590201059972996,0.49358579993428287,-0.09661526003871312
broad_band,gps_speed_curve_matched,steer_rms_deg,C-minus-B,-7|-1|11|0,1,1,1.0,0.5285430962334061,0.44385410139585835,-0.08468899483754777
broad_band,gps_speed_curve_matched,steer_rms_deg,C-minus-B,-8|-1|11|0,1,1,1.0,0.5601887813223705,0.4450114444958246,-0.1151773368265459
broad_band,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-B,-5|-1|11|-1,1,1,1.0,1.2120530119776136,0.9902375482286425,-0.2218154637489711
broad_band,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-B,-7|-1|11|0,1,1,1.0,1.1934592721039512,0.9752939812669995,-0.2181652908369517
broad_band,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-B,-8|-1|11|0,1,1,1.0,1.1180118408863282,0.9743286687651035,-0.14368317212122472
broad_band,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-B,-5|-1|11|-1,1,1,1.0,0.09166968007154766,0.07863529116427627,-0.013034388907271391
broad_band,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-B,-7|-1|11|0,1,1,1.0,0.09163969328994111,0.0778639184264116,-0.013775774863529502
broad_band,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-B,-8|-1|11|0,1,1,1.0,0.08599511584471366,0.07755539965781842,-0.008439716186895235
broad_band,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,-5|-1|11|-1,1,1,1.0,1.0588655070253759,0.9699982168603681,-0.08886729016500772
broad_band,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,-7|-1|11|0,1,1,1.0,1.2512116097046746,0.9023444010457012,-0.34886720865897336
broad_band,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,-8|-1|11|0,1,1,1.0,1.318623871440896,0.9782060112576018,-0.34041786018329423
broad_band,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-B,-5|-1|11|-1,1,1,1.0,1.0588889138140083,0.969998534480916,-0.0888903793330923
broad_band,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-B,-7|-1|11|0,1,1,1.0,1.2512120609612079,0.9023390374908599,-0.348873023470348
broad_band,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-B,-8|-1|11|0,1,1,1.0,1.3186486346808808,0.9780808973635774,-0.3405677373173034
loose_curve,speed_curve_matched,steer_rms_deg,B-minus-A,10|-1,9,3,3.0,0.7289363713245116,0.884118838989439,0.15518246766492738
loose_curve,speed_curve_matched,steer_rms_deg,B-minus-A,10|0,4,2,2.0,0.5705821871415466,1.332610754391209,0.7620285672496623
loose_curve,speed_curve_matched,steer_rms_deg,B-minus-A,11|-1,1,3,1.0,0.3602472087374548,0.6169859296524867,0.25673872091503186
loose_curve,speed_curve_matched,actual_curv_rms_1pm,B-minus-A,10|-1,9,3,3.0,1.6917384114753824,1.9523670167995586,0.2606286053241762
loose_curve,speed_curve_matched,actual_curv_rms_1pm,B-minus-A,10|0,4,2,2.0,1.2836066493438822,3.6057857341819775,2.322179084838095
loose_curve,speed_curve_matched,actual_curv_rms_1pm,B-minus-A,11|-1,1,3,1.0,0.8082212688151104,1.2213005120051372,0.41307924319002687
loose_curve,speed_curve_matched,lat_accel_rms_mps2,B-minus-A,10|-1,9,3,3.0,0.10582818667494036,0.14623858765988937,0.04041040098494901
loose_curve,speed_curve_matched,lat_accel_rms_mps2,B-minus-A,10|0,4,2,2.0,0.08892443141371945,0.21893182034626857,0.13000738893254912
loose_curve,speed_curve_matched,lat_accel_rms_mps2,B-minus-A,11|-1,1,3,1.0,0.06948825194792417,0.08851258611980513,0.019024334171880958
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,10|-1,9,3,3.0,1.4544419289809063,1.8001665319598001,0.34572460297889385
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,10|0,4,2,2.0,1.0440700199681126,3.5967520787812415,2.552682058813129
loose_curve,speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,11|-1,1,3,1.0,0.6074025538324727,1.1400887712341419,0.5326862174016692
loose_curve,speed_curve_matched,desired_curv_rms_1pm,B-minus-A,10|-1,9,3,3.0,1.4544062229458508,1.8000910624590516,0.34568483951320084
loose_curve,speed_curve_matched,desired_curv_rms_1pm,B-minus-A,10|0,4,2,2.0,1.0439664004734683,3.5968359347536794,2.552869534280211
loose_curve,speed_curve_matched,desired_curv_rms_1pm,B-minus-A,11|-1,1,3,1.0,0.6073372847971569,1.1401144417130875,0.5327771569159306
loose_curve,gps_speed_curve_matched,steer_rms_deg,B-minus-A,-6|-1|10|-1,1,1,1.0,0.6911565091451806,0.884118838989439,0.19296232984425843
loose_curve,gps_speed_curve_matched,steer_rms_deg,B-minus-A,-9|-1|10|-1,2,1,1.0,0.8540616889599231,0.739736467201132,-0.11432522175879112
loose_curve,gps_speed_curve_matched,actual_curv_rms_1pm,B-minus-A,-6|-1|10|-1,1,1,1.0,1.6917384114753824,1.916736716974924,0.2249983054995417
