setting,drive_id,config_id,driving_model,controller_set,n_windows,eligible_min,speed_median_mph,road_curv_abs_median,steer_rms_deg,actual_curv_rms_1pm,lat_accel_rms_mps2,cmd_curv_rms_1pm,desired_curv_rms_1pm,model_path_y20_rms_m,lane_center_y20_rms_m,steer_pp_sine_deg,lat_disp_pp_sine_cm,steer_peak_freq_hz
broad_band,drive_01,A,CD210,set1,6,2.5366666666666666,51.56751885890439,0.0003799080990476438,0.9501838308782212,2.388011151170511,0.13404575480797232,2.1141322592933527,2.1141950689722284,0.04050378264807816,0.12446855815785074,2.687525720751208,22.73206884064855,0.1953125
broad_band,drive_02,B,CD210,set2,11,5.065833333333333,61.94258441167891,0.0003380844241418988,0.8932417266957845,1.9542270879239425,0.13670284067978808,1.8532255437202159,1.8531436573170261,0.04024596645312843,0.11158223704018469,2.52646912874148,29.003668164006513,0.15625
broad_band,drive_03,C,OPM7,set1,23,10.294166666666666,53.620750502904265,0.0004038594570285138,0.6707156007429529,1.4644761621982652,0.09669809341271883,1.617889703759992,1.6178883454141724,0.027749902693777112,0.07223124875297604,1.8970701981318039,11.8633754134036,0.234375
broad_band,drive_04,A,CD210,set1,15,6.528333333333333,54.29212532577074,0.00037249763132448993,0.8731997208594648,2.28749943161082,0.1189985393830599,1.9160265138940027,1.9160768670400452,0.03740457399824005,0.10432787726572469,2.4697817757997123,20.748357656991594,0.1953125
broad_band,drive_05,C,OPM7,set1,8,3.6075,62.717726312484785,0.00027649656324727444,0.777457439714133,1.8207541191080256,0.1236527551353413,1.7111496354641051,1.711158316265188,0.03438348279701245,0.07035200279192766,2.1989817108231797,35.95495932752479,0.13671875
broad_band,drive_06,A,CD210,set1,21,9.2075,52.32217165922612,0.00036814860803567736,0.8753522617748094,2.175763642829148,0.11448296953188487,1.8661388745741783,1.866108347158208,0.03622615824503657,0.09423672536202521,2.4758700809117986,21.501366631062506,0.1953125
loose_curve,drive_01,A,CD210,set1,7,2.8733333333333335,52.81717675084894,0.00037457191270905273,0.9410800536273335,2.342505678301696,0.13118289928467275,2.157367705508668,2.1574019633564525,0.04028556758733909,0.11838336895955338,2.6617763502371496,22.54021509441409,0.1953125
loose_curve,drive_02,B,CD210,set2,11,5.1025,61.94258441167891,0.0003380844241418988,0.739736467201132,1.712604632738698,0.13239550115741291,1.58566703929724,1.5857138358960867,0.03322205695477014,0.10437932031721127,2.092290688995602,25.370388083073646,0.15625
loose_curve,drive_03,C,OPM7,set1,23,10.294166666666666,53.620750502904265,0.0004038594570285138,0.616710285734009,1.4312269193881793,0.08578663199170916,1.5336598889840398,1.533659876285025,0.026774740856583747,0.06528940475911761,1.7443201002800446,10.687699638852882,0.234375
loose_curve,drive_04,A,CD210,set1,16,6.8975,54.43804100359453,0.0003729683176225543,0.8633269961426697,2.1943622165527144,0.11687025014367672,1.890507186033314,1.8904456198206807,0.036205566208951614,0.0896855229226376,2.4418574934155766,19.224528917734467,0.1953125
loose_curve,drive_05,C,OPM7,set1,8,3.6075,62.717726312484785,0.00027649656324727444,0.611871549754855,1.4148543562881275,0.09169326031509292,1.3002329301558242,1.3002455126796835,0.026018510300811218,0.0682725115979923,1.73063408818712,41.217558689271,0.13671875
loose_curve,drive_06,A,CD210,set1,22,9.715833333333332,52.32170190845878,0.00037275975117317516,0.8309349856293559,2.042127620219172,0.10940365287242898,1.7855958896175652,1.7857187404954429,0.03345787688136423,0.08864672164897333,2.350239052254656,22.99019453290087,0.1953125
lower_speed,drive_01,A,CD210,set1,6,2.620833333333333,51.56751885890439,0.0003799080990476438,0.9322942423003757,2.329497976823223,0.12836390262796327,2.092908645059422,2.092983376273218,0.038882567564544085,0.12205797645499838,2.6369263231670796,22.261841937601545,0.1953125
lower_speed,drive_02,B,CD210,set2,13,5.8516666666666675,61.500957769783696,0.0003380844241418988,0.739736467201132,1.712604632738698,0.11236332637273659,1.5888267006204169,1.5888454518608937,0.03322205695477014,0.10437932031721127,2.092290688995602,25.33902193171923,0.1953125
lower_speed,drive_03,C,OPM7,set1,32,14.653333333333334,52.069837118012416,0.00044689713805905006,0.6941368604595064,1.7501807304946089,0.08969875474886291,1.65558435450434,1.6555752321075845,0.028221767450081148,0.06812310902566737,1.9633155244098295,11.942388688566263,0.234375
lower_speed,drive_04,A,CD210,set1,17,7.684166666666666,53.752705927778074,0.00037249763132448993,0.8857274179980702,2.2998249273660467,0.11784980879278494,1.9055731658779653,1.9055321290726863,0.03754567360360266,0.09193635744799664,2.5052154541971485,20.314751034448143,0.1953125
lower_speed,drive_05,C,OPM7,set1,8,3.6125,62.717726312484785,0.00027649656324727444,0.6113216818258457,1.4127523230819536,0.09146283832180604,1.2961632065334228,1.2961757729906895,0.025931160262854174,0.0682725115979923,1.7290788268216821,41.217558689271,0.13671875
lower_speed,drive_06,A,CD210,set1,25,11.389166666666664,51.444896869790135,0.00038141770180389234,0.8987686874669212,2.2208881166358063,0.10835882320966644,1.933300599705966,1.933221454074277,0.03875078761619253,0.09547834565362769,2.542101734503971,21.854725886695032,0.1953125
