config_id,n_drives,n_windows,eligible_min,speed_median_mph,speed_p25_mph,speed_p75_mph,road_curv_abs_median,gps_cells_500m
A,3,42,18.2725,53.48533219395012,49.805000672930596,57.96594393439896,0.0003729683176225543,26
B,1,11,5.065833333333333,61.94258441167891,60.012457183781365,62.218675588471825,0.0003380844241418988,10
C,2,31,13.901666666666667,59.99816087223993,52.09607954972903,65.88272043689946,0.00036303864557085035,27
A-B speed_curve_matched,4,22,10.105,60.012457183781365,58.34434243585013,61.2878806695399,0.00032270067183837826,15
A-B gps_speed_curve_matched,3,5,2.35,58.91356522036593,57.00523417326614,59.63404335944887,0.00032049770766223,2
A-C speed_curve_matched,5,55,23.9825,52.81717675084894,49.68835746799494,56.54681740759764,0.00037737089431067296,35
A-C gps_speed_curve_matched,3,10,4.655,53.565222044485196,52.502505976585844,54.69170887975804,0.000385949955035762,4
B-C speed_curve_matched,3,18,8.354166666666666,62.33805894240196,61.611364430257495,63.03454192440683,0.0003067139460012369,13
B-C gps_speed_curve_matched,2,6,2.7366666666666664,62.63785537958527,62.18871996639308,63.03454192440683,0.000288197304774748,3
